Close;Data;Day;Week
28.994;20.06.2004;3956;566
28.992;27.06.2004;3963;567
29.092;04.07.2004;3970;568
29.065;11.07.2004;3977;569
29.056;18.07.2004;3984;570
29.081;25.07.2004;3991;571
29.179;01.08.2004;3998;572
29.224;08.08.2004;4005;573
29.194;15.08.2004;4012;574
29.202;22.08.2004;4019;575
29.195;29.08.2004;4026;576
29.192;05.09.2004;4033;577
29.196;12.09.2004;4040;578
29.191;19.09.2004;4047;579
29.191;26.09.2004;4054;580
29.196;03.10.2004;4061;581
29.088;10.10.2004;4068;582
28.913;17.10.2004;4075;583
28.720;24.10.2004;4082;584
28.638;31.10.2004;4089;585
28.648;07.11.2004;4096;586
28.502;14.11.2004;4103;587
28.289;21.11.2004;4110;588
27.901;28.11.2004;4117;589
28.080;05.12.2004;4124;590
27.909;12.12.2004;4131;591
27.803;19.12.2004;4138;592
27.698;26.12.2004;4145;593
27.738;02.01.2005;4152;594
27.923;09.01.2005;4159;595
28.053;16.01.2005;4166;596
28.055;23.01.2005;4173;597
27.936;30.01.2005;4180;598
28.054;06.02.2005;4187;599
27.921;13.02.2005;4194;600
27.719;20.02.2005;4201;601
27.673;27.02.2005;4208;602
27.428;06.03.2005;4215;603
27.494;13.03.2005;4222;604
27.682;20.03.2005;4229;605
27.787;27.03.2005;4236;606
27.829;03.04.2005;4243;607
27.897;10.04.2005;4250;608
27.687;17.04.2005;4257;609
27.759;24.04.2005;4264;610
27.797;01.05.2005;4271;611
27.943;08.05.2005;4278;612
28.007;15.05.2005;4285;613
28.058;22.05.2005;4292;614
28.348;29.05.2005;4299;615
28.462;05.06.2005;4306;616
28.496;12.06.2005;4313;617
28.619;19.06.2005;4320;618
28.605;26.06.2005;4327;619
28.750;03.07.2005;4334;620
28.669;10.07.2005;4341;621
28.615;17.07.2005;4348;622
28.606;24.07.2005;4355;623
28.401;31.07.2005;4362;624
28.286;07.08.2005;4369;625
28.590;14.08.2005;4376;626
28.410;21.08.2005;4383;627
28.255;28.08.2005;4390;628
28.245;04.09.2005;4397;629
28.350;11.09.2005;4404;630
28.480;18.09.2005;4411;631
28.473;25.09.2005;4418;632
28.467;02.10.2005;4425;633
28.516;09.10.2005;4432;634
28.610;16.10.2005;4439;635
28.441;23.10.2005;4446;636
28.550;30.10.2005;4453;637
28.820;06.11.2005;4460;638
28.736;13.11.2005;4467;639
28.836;20.11.2005;4474;640
28.933;27.11.2005;4481;641
28.837;04.12.2005;4488;642
28.610;11.12.2005;4495;643
28.745;18.12.2005;4502;644
28.715;25.12.2005;4509;645
28.644;01.01.2006;4516;646
28.388;08.01.2006;4523;647
28.211;15.01.2006;4530;648
28.074;22.01.2006;4537;649
28.207;29.01.2006;4544;650
28.272;05.02.2006;4551;651
28.172;12.02.2006;4558;652
28.169;19.02.2006;4565;653
27.841;26.02.2006;4572;654
28.021;05.03.2006;4579;655
27.643;12.03.2006;4586;656
27.778;19.03.2006;4593;657
27.682;26.03.2006;4600;658
27.674;02.04.2006;4607;659
27.686;09.04.2006;4614;660
27.444;16.04.2006;4621;661
27.150;23.04.2006;4628;662
27.063;30.04.2006;4635;663
26.875;07.05.2006;4642;664
27.034;14.05.2006;4649;665
27.031;21.05.2006;4656;666
26.737;28.05.2006;4663;667
26.996;04.06.2006;4670;668
26.892;11.06.2006;4677;669
27.086;18.06.2006;4684;670
26.818;25.06.2006;4691;671
26.813;02.07.2006;4698;672
26.949;09.07.2006;4705;673
26.843;16.07.2006;4712;674
26.766;23.07.2006;4719;675
26.669;30.07.2006;4726;676
26.794;06.08.2006;4733;677
26.707;13.08.2006;4740;678
26.776;20.08.2006;4747;679
26.701;27.08.2006;4754;680
26.772;03.09.2006;4761;681
26.749;10.09.2006;4768;682
26.642;17.09.2006;4775;683
26.762;24.09.2006;4782;684
26.856;01.10.2006;4789;685
26.947;08.10.2006;4796;686
26.838;15.10.2006;4803;687
26.698;22.10.2006;4810;688
26.710;29.10.2006;4817;689
26.595;05.11.2006;4824;690
26.614;12.11.2006;4831;691
26.393;19.11.2006;4838;692
26.143;26.11.2006;4845;693
26.263;03.12.2006;4852;694
26.350;10.12.2006;4859;695
26.275;17.12.2006;4866;696
26.289;24.12.2006;4873;697
26.347;31.12.2006;4880;698
26.557;07.01.2007;4887;699
26.502;14.01.2007;4894;700
26.542;21.01.2007;4901;701
26.474;28.01.2007;4908;702
26.323;04.02.2007;4915;703
26.181;11.02.2007;4922;704
26.141;18.02.2007;4929;705
26.125;25.02.2007;4936;706
26.195;04.03.2007;4943;707
25.985;11.03.2007;4950;708
26.006;18.03.2007;4957;709
25.937;25.03.2007;4964;710
25.914;01.04.2007;4971;711
25.757;08.04.2007;4978;712
25.695;15.04.2007;4985;713
25.634;22.04.2007;4992;714
25.688;29.04.2007;4999;715
25.761;06.05.2007;5006;716
25.774;13.05.2007;5013;717
25.843;20.05.2007;5020;718
25.835;27.05.2007;5027;719
25.910;03.06.2007;5034;720
25.908;10.06.2007;5041;721
25.816;17.06.2007;5048;722
25.678;24.06.2007;5055;723
25.642;01.07.2007;5062;724
25.394;08.07.2007;5069;725
25.326;15.07.2007;5076;726
25.530;22.07.2007;5083;727
25.422;29.07.2007;5090;728
25.400;05.08.2007;5097;729
25.696;12.08.2007;5104;730
25.628;19.08.2007;5111;731
25.595;26.08.2007;5118;732
25.511;02.09.2007;5125;733
25.277;09.09.2007;5132;734
24.980;16.09.2007;5139;735
24.797;23.09.2007;5146;736
24.907;30.09.2007;5153;737
24.864;07.10.2007;5160;738
24.784;14.10.2007;5167;739
24.665;21.10.2007;5174;740
24.557;28.10.2007;5181;741
24.395;04.11.2007;5188;742
24.430;11.11.2007;5195;743
24.257;18.11.2007;5202;744
24.439;25.11.2007;5209;745
24.418;02.12.2007;5216;746
24.622;09.12.2007;5223;747
24.673;16.12.2007;5230;748
24.427;23.12.2007;5237;749
24.401;30.12.2007;5244;750
24.320;06.01.2008;5251;751
24.463;13.01.2008;5258;752
24.481;20.01.2008;5265;753
24.432;27.01.2008;5272;754
24.680;03.02.2008;5279;755
24.528;10.02.2008;5286;756
24.378;17.02.2008;5293;757
23.955;24.02.2008;5300;758
23.792;02.03.2008;5307;759
23.533;09.03.2008;5314;760
23.731;16.03.2008;5321;761
23.424;23.03.2008;5328;762
23.473;30.03.2008;5335;763
23.404;06.04.2008;5342;764
23.398;13.04.2008;5349;765
23.559;20.04.2008;5356;766
23.737;27.04.2008;5363;767
23.676;04.05.2008;5370;768
23.660;11.05.2008;5377;769
23.480;18.05.2008;5384;770
23.618;25.05.2008;5391;771
23.471;01.06.2008;5398;772
23.718;08.06.2008;5405;773
23.508;15.06.2008;5412;774
23.347;22.06.2008;5419;775
23.421;29.06.2008;5426;776
23.187;06.07.2008;5433;777
23.152;13.07.2008;5440;778
23.318;20.07.2008;5447;779
23.418;27.07.2008;5454;780
24.172;03.08.2008;5461;781
24.541;10.08.2008;5468;782
24.314;17.08.2008;5475;783
24.574;24.08.2008;5482;784
25.410;31.08.2008;5489;785
25.455;07.09.2008;5496;786
25.206;14.09.2008;5503;787
24.964;21.09.2008;5510;788
25.902;28.09.2008;5517;789
26.133;05.10.2008;5524;790
26.275;12.10.2008;5531;791
27.118;19.10.2008;5538;792
26.987;26.10.2008;5545;793
26.947;02.11.2008;5552;794
27.290;09.11.2008;5559;795
27.424;16.11.2008;5566;796
27.840;23.11.2008;5573;797
28.088;30.11.2008;5580;798
27.601;07.12.2008;5587;799
28.088;14.12.2008;5594;800
28.906;21.12.2008;5601;801
29.319;28.12.2008;5608;802
30.809;04.01.2009;5615;803
32.444;11.01.2009;5622;804
32.773;18.01.2009;5629;805
35.647;25.01.2009;5636;806
36.075;01.02.2009;5643;807
34.535;08.02.2009;5650;808
35.844;15.02.2009;5657;809
35.819;22.02.2009;5664;810
35.674;01.03.2009;5671;811
34.588;08.03.2009;5678;812
33.412;15.03.2009;5685;813
33.692;22.03.2009;5692;814
33.215;29.03.2009;5699;815
33.418;05.04.2009;5706;816
33.371;12.04.2009;5713;817
33.095;19.04.2009;5720;818
32.969;26.04.2009;5727;819
32.249;03.05.2009;5734;820
32.032;10.05.2009;5741;821
30.960;17.05.2009;5748;822
30.876;24.05.2009;5755;823
30.783;31.05.2009;5762;824
30.840;07.06.2009;5769;825
30.986;14.06.2009;5776;826
31.024;21.06.2009;5783;827
31.178;28.06.2009;5790;828
32.599;05.07.2009;5797;829
31.672;12.07.2009;5804;830
30.901;19.07.2009;5811;831
31.368;26.07.2009;5818;832
31.557;02.08.2009;5825;833
31.576;09.08.2009;5832;834
31.547;16.08.2009;5839;835
31.518;23.08.2009;5846;836
31.476;30.08.2009;5853;837
30.553;06.09.2009;5860;838
30.132;13.09.2009;5867;839
30.039;20.09.2009;5874;840
30.056;27.09.2009;5881;841
29.541;04.10.2009;5888;842
29.327;11.10.2009;5895;843
28.848;18.10.2009;5902;844
29.041;25.10.2009;5909;845
28.976;01.11.2009;5916;846
28.758;08.11.2009;5923;847
28.911;15.11.2009;5930;848
29.237;22.11.2009;5937;849
29.388;29.11.2009;5944;850
30.168;06.12.2009;5951;851
30.553;13.12.2009;5958;852
29.586;20.12.2009;5965;853
29.948;27.12.2009;5972;854
29.678;03.01.2010;5979;855
29.459;10.01.2010;5986;856
29.753;17.01.2010;5993;857
30.260;24.01.2010;6000;858
30.371;31.01.2010;6007;859
30.113;07.02.2010;6014;860
29.924;14.02.2010;6021;861
29.859;21.02.2010;6028;862
29.703;28.02.2010;6035;863
29.210;07.03.2010;6042;864
29.236;14.03.2010;6049;865
29.530;21.03.2010;6056;866
29.178;28.03.2010;6063;867
29.058;04.04.2010;6070;868
28.998;11.04.2010;6077;869
29.026;18.04.2010;6084;870
